circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,MANCHIREVULA,AGRICULTURAL,5,33,11.0,0,122.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,NARSINGI,AGRICULTURAL,5,61,5.0,0,232.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,NEKNAM POOR,AGRICULTURAL,5,22,112.0,0,82.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MUDMIYAL,AGRICULTURAL,5,391,377.0,0,1466.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NANCHERI,AGRICULTURAL,5,37,36.0,0,138.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NARAYANADASS GUDA,AGRICULTURAL,5,75,75.0,0,281.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NAYALTA,AGRICULTURAL,5,151,148.0,2147,567.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NOWLOYAPALLY,AGRICULTURAL,5,20,20.0,0,75.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,PALGUTTA,AGRICULTURAL,5,113,109.0,0,423.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,PAMEENA,AGRICULTURAL,5,273,268.0,625,1018.25
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,OSMAN SAGAR,AGRICULTURAL,5,6,1.0,46,22.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,RAMDEV GUDA,AGRICULTURAL,5,2,2.0,0,7.5
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,SREE NAGAR,AGRICULTURAL,5,52,46.0,30,199.13
CYBERCITY,IBRAHIMBAGH,IBRAHIMBAG,NARSINGI,VATTI NAGULA PALLY,AGRICULTURAL,5,265,231.0,10871,972.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,R GHANA POOR,AGRICULTURAL,5,243,227.0,0,909.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,RAMANNAGUDA,AGRICULTURAL,5,24,22.0,0,90.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,SAIREDDY GUDA,AGRICULTURAL,5,17,17.0,0,61.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,SINGAPPA GUDA,AGRICULTURAL,5,34,33.0,0,127.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,TALLARAM,AGRICULTURAL,5,83,79.0,0,311.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,TANGADPELLY,AGRICULTURAL,5,210,208.0,625,784.5
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,AMEERGUDA,AGRICULTURAL,5,7,7.0,0,26.25
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,APPA REDDY GUDA,AGRICULTURAL,5,70,67.0,0,264.38
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,URELLA,AGRICULTURAL,5,222,201.0,625,824.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,VENKANNAGUDA,AGRICULTURAL,5,20,20.0,0,75.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,YENKA PALLY,AGRICULTURAL,5,192,187.0,0,720.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ANTHARAM-S,AGRICULTURAL,5,132,126.0,0,495.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ANTHI REDDY GUDA,AGRICULTURAL,5,19,19.0,0,71.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,APPAREDDY GUDA,AGRICULTURAL,5,20,20.0,0,75.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,GOLLUR GUDA,AGRICULTURAL,5,17,17.0,0,63.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,APPAJIGUDA,AGRICULTURAL,5,56,50.0,0,210.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,APPOJIGUDA,AGRICULTURAL,5,1,1.0,0,5.25
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHANDER NAGAR,AGRICULTURAL,5,57,53.0,0,213.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHILKUR,AGRICULTURAL,5,507,489.0,1553,1909.13
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINA SHAPOOR,AGRICULTURAL,5,48,48.0,0,180.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINNA MANGLARAM,AGRICULTURAL,5,358,357.0,1948,1342.5
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINNAMANGANGALARAM,AGRICULTURAL,5,2,2.0,0,7.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SAJJAN PALLY,AGRICULTURAL,5,2,2.0,0,7.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SAJJANPELLY,AGRICULTURAL,5,54,54.0,0,202.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SREE RAM NAGAR,AGRICULTURAL,5,249,232.0,3001,933.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SREERAM NAGAR,AGRICULTURAL,5,31,22.0,0,116.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,SURANGAL,AGRICULTURAL,5,262,246.0,625,986.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ASPALLYGUDA,AGRICULTURAL,5,26,26.0,0,97.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,BHANGIRI PALLY,AGRICULTURAL,5,56,56.0,0,210.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,BOBBILIGOAN,AGRICULTURAL,5,150,150.0,0,564.38
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,BODAM PAHAD,AGRICULTURAL,5,31,31.0,0,116.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,CHANDANVELLY,AGRICULTURAL,5,257,178.0,0,965.63
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,CHENNA SOLIPET,AGRICULTURAL,5,156,154.0,0,585.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,GOPIGADDA,AGRICULTURAL,5,25,25.0,0,93.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,HAITA BAD,AGRICULTURAL,5,189,145.0,0,710.63
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KAKLOOR,AGRICULTURAL,5,258,258.0,2500,965.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KESARAM (S),AGRICULTURAL,5,142,142.0,0,532.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KESHAVA GUDA,AGRICULTURAL,5,49,48.0,0,183.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KOMARBANDA,AGRICULTURAL,5,46,44.0,0,172.5
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHOWDER GUDA,AGRICULTURAL,5,8,6.0,0,30.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,ELKA GUDA,AGRICULTURAL,5,45,45.0,0,168.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,HIMAYATH NAGAR,AGRICULTURAL,5,222,205.0,1041,838.13
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,MEDIPALLY,AGRICULTURAL,5,294,292.0,391,1149.75
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,MOTHKAPALLY,AGRICULTURAL,5,133,133.0,0,498.75
